Start Time,End Time,Start Epoch,End Epoch,Type,Comments
2014-04-08 03:00:36,2014-04-08 09:35:32,1396951236697.0,1396974932277.0,Activity
2014-04-08 09:35:32,2014-04-08 09:42:27,1396974932277.0,1396975347542.0,Non-walk trip
2014-04-08 09:42:27,2014-04-08 09:53:06,1396975347542.0,1396975986247.0,Walk trip
2014-04-08 09:53:06,2014-04-08 10:00:42,1396975986247.0,1396976442705.0,Activity
2014-04-08 10:00:42,2014-04-08 12:24:34,1396976442705.0,1396985074813.0,Activity
2014-04-08 12:24:34,2014-04-08 12:26:00,1396985074813.0,1396985160096.0,Non-walk trip
2014-04-08 12:26:00,2014-04-08 12:33:34,1396985160096.0,1396985614320.0,Activity
2014-04-08 12:33:34,2014-04-08 12:34:31,1396985614320.0,1396985671281.0,Walk trip
2014-04-08 12:34:31,2014-04-08 14:36:00,1396985671281.0,1396992960783.0,Activity
2014-04-08 14:36:00,2014-04-08 15:14:16,1396992960783.0,1396995256668.0,Hole
2014-04-08 15:14:16,2014-04-08 15:15:46,1396995256668.0,1396995346818.0,Walk trip
2014-04-08 15:15:46,2014-04-08 15:47:48,1396995346818.0,1396997268421.0,Hole
2014-04-08 15:47:48,2014-04-08 15:51:48,1396997268421.0,1396997508967.0,Walk trip
