Start Time,End Time,Type,Comments
Tue Mar 04 08:19:38 PST 2014,Tue Mar 04 08:34:23 PST 2014,Activity
Tue Mar 04 08:34:23 PST 2014,Tue Mar 04 08:44:10 PST 2014,Hole
Tue Mar 04 08:44:10 PST 2014,Tue Mar 04 08:48:12 PST 2014,Walk trip
Tue Mar 04 08:48:12 PST 2014,Tue Mar 04 08:54:40 PST 2014,Hole
Tue Mar 04 08:54:40 PST 2014,Tue Mar 04 08:59:15 PST 2014,Walk trip
Tue Mar 04 08:59:15 PST 2014,Tue Mar 04 09:09:30 PST 2014,Non-walk trip
Tue Mar 04 09:09:30 PST 2014,Tue Mar 04 09:30:53 PST 2014,Activity
Tue Mar 04 09:30:53 PST 2014,Tue Mar 04 09:35:23 PST 2014,Non-walk trip
Tue Mar 04 09:35:23 PST 2014,Tue Mar 04 19:01:27 PST 2014,Activity
Tue Mar 04 19:01:27 PST 2014,Tue Mar 04 20:01:11 PST 2014,Walk trip
Tue Mar 04 20:01:11 PST 2014,Tue Mar 04 22:15:38 PST 2014,Activity
